HUB,Numero_Tarefa,Nome_Tarefa,Status,Data,Ultima_Chamada
Unilever,undefined,undefined,Normalizada,18/01/2022 16:23:47,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 16:24:47,undefined
Middleware,undefined,undefined,Atrasada,18/01/2022 16:26:48,undefined
Middleware,undefined,undefined,Atrasada,18/01/2022 16:43:47,undefined
Unilever,undefined,undefined,Parada,18/01/2022 16:49:48,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 16:56:46,undefined
Middleware,undefined,undefined,Atrasada,18/01/2022 17:06:48,undefined
Middleware,undefined,undefined,Parada,18/01/2022 17:25:47,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 17:37:47,undefined
Middleware,undefined,undefined,Parada,18/01/2022 17:38:46,undefined
Middleware,undefined,undefined,Atrasada,18/01/2022 17:47:49,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 17:53:47,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 18:09:48,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 18:14:46,undefined
Middleware,undefined,undefined,Atrasada,18/01/2022 18:25:48,undefined
Unilever,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Unilever,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Food,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Nike,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Middleware,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Climate,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Climate,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Fabercastell,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Hersheys,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Mondelez,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Vila Nova,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Vila Nova,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Vila Nova,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Loja Perfeita,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Omron,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Cuidado todos os dias,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Josapar,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Coty - Loja do Varejo,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Hub com erro,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 19:59:00,undefined
Unilever,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Unilever,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Food,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Food,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Nike,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Middleware,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Middleware,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
Middleware,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Middleware,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Climate,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Climate,undefined,undefined,Atrasada,18/01/2022 19:59:47,undefined
Fabercastell,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Hersheys,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Mondelez,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Vila Nova,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
Vila Nova,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Vila Nova,undefined,undefined,Parada,18/01/2022 19:59:47,undefined
Loja Perfeita,undefined,undefined,Hub ativo,18/01/2022 19:59:47,undefined
